Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX,fold_4
Tm2MgSe4,spinel,0,1,Tm,Tm,Mg,Mg,Se,Se,1.052,0.72,1.98,0.2240328,train
Tl2CoCl4,k2so4,0,1,Tl,Tl,Co,Co,Cl,Cl,1.59,0.745,1.81,0.263803,train
Pr2CdSe4,th3p4,0,1,Pr,Pr,Cd,Cd,Se,Se,1.179,0.95,1.98,0.2240328,train
Ce2EuSe4,th3p4,0,1,Ce,Ce,Eu,Eu,Se,Se,1.196,1.17,1.98,0.2240328,train
K2PbCl4,th3p4,0,1,K,K,Pb,Pb,Cl,Cl,1.55,1.19,1.81,0.263803,train
Tb2YbS4,th3p4,0,1,Tb,Tb,Yb,Yb,S,S,1.095,1.02,1.84,0.23596,test
Fe2SiS4,olivine,0,1,Fe,Fe,Si,Si,S,S,0.92,0.4,1.84,0.23596,train
Mn2VO4,spinel,0,1,Mn,Mn,V,V,O,O,0.96,0.58,1.4,0.304575,train
Tb2CdS4,th3p4,0,1,Tb,Tb,Cd,Cd,S,S,1.095,0.95,1.84,0.23596,train
Fe2SiO4,spinel,0,1,Fe,Fe,Si,Si,O,O,0.92,0.4,1.4,0.304575,train
Tm2MnS4,th3p4,0,1,Tm,Tm,Mn,Mn,S,S,1.052,0.83,1.84,0.23596,train
Mn2SiS4,olivine,0,1,Mn,Mn,Si,Si,S,S,0.96,0.4,1.84,0.23596,train
Yb2CdS4,spinel,0,1,Yb,Yb,Cd,Cd,S,S,1.042,0.95,1.84,0.23596,test
LiScGeO4,olivine,0,1,Li,Sc,Ge,Ge,O,O,0.895,0.53,1.4,0.304575,train
LiNaBeF4,olivine,0,1,Li,Na,Be,Be,F,F,1.08,0.45,1.33,0.344443,train
K2WS4,k2so4,0,1,K,K,W,W,S,S,1.55,0.6,1.84,0.23596,train
Cs2MoSe4,k2so4,0,1,Cs,Cs,Mo,Mo,Se,Se,1.78,0.59,1.98,0.2240328,train
Mg2SiO4,olivine,0,1,Mg,Mg,Si,Si,O,O,0.89,0.4,1.4,0.304575,train
CoMnGeO4,olivine,0,1,Co,Mn,Ge,Ge,O,O,0.93,0.53,1.4,0.304575,train
CaMnSiO4,olivine,0,1,Ca,Mn,Si,Si,O,O,1.0699999999999998,0.4,1.4,0.304575,train
KCaVO4,k2so4,0,1,K,Ca,V,V,O,O,1.365,0.54,1.4,0.304575,train
CaNaAsO4,olivine,0,1,Ca,Na,As,As,O,O,1.21,0.46,1.4,0.304575,train
Cs2MnI4,k2so4,0,1,Cs,Cs,Mn,Mn,I,I,1.78,0.83,2.2,0.2195175999999999,train
Mg2PtO4,spinel,0,1,Mg,Mg,Pt,Pt,O,O,0.89,0.625,1.4,0.304575,train
Sc2ZnS4,spinel,0,1,Sc,Sc,Zn,Zn,S,S,0.87,0.74,1.84,0.23596,train
Rb2WSe4,k2so4,0,1,Rb,Rb,W,W,Se,Se,1.63,0.6,1.98,0.2240328,train
Zn2ZrO4,spinel,0,1,Zn,Zn,Zr,Zr,O,O,0.9,0.72,1.4,0.304575,train
Zn2TiO4,spinel,0,1,Zn,Zn,Ti,Ti,O,O,0.9,0.605,1.4,0.304575,train
Fe2GeS4,olivine,0,1,Fe,Fe,Ge,Ge,S,S,0.92,0.53,1.84,0.23596,train
Rb2MoSe4,k2so4,0,1,Rb,Rb,Mo,Mo,Se,Se,1.63,0.59,1.98,0.2240328,train
Rb2MnI4,k2so4,0,1,Rb,Rb,Mn,Mn,I,I,1.63,0.83,2.2,0.2195175999999999,train
Cs2BaBr4,th3p4,0,1,Cs,Cs,Ba,Ba,Br,Br,1.78,1.35,1.96,0.2412578,train
Li2MoO4,spinel,0,1,Li,Li,Mo,Mo,O,O,0.92,0.59,1.4,0.304575,train
Sm2ZnS4,th3p4,0,1,Sm,Sm,Zn,Zn,S,S,1.132,0.74,1.84,0.23596,test
Rb2WS4,k2so4,0,1,Rb,Rb,W,W,S,S,1.63,0.6,1.84,0.23596,test
Pr2YbS4,th3p4,0,1,Pr,Pr,Yb,Yb,S,S,1.179,1.02,1.84,0.23596,test
LiMgAsO4,olivine,0,1,Li,Mg,As,As,O,O,0.905,0.46,1.4,0.304575,test
Y2YbS4,th3p4,0,1,Y,Y,Yb,Yb,S,S,1.075,1.02,1.84,0.23596,test
Co2SiO4,spinel,0,1,Co,Co,Si,Si,O,O,0.9,0.4,1.4,0.304575,train
Ba2TiS4,k2so4,0,1,Ba,Ba,Ti,Ti,S,S,1.47,0.605,1.84,0.23596,train
Ba2GeS4,k2so4,0,1,Ba,Ba,Ge,Ge,S,S,1.47,0.53,1.84,0.23596,train
Rb2CoCl4,k2so4,0,1,Rb,Rb,Co,Co,Cl,Cl,1.63,0.745,1.81,0.263803,train
K2BaCl4,th3p4,0,1,K,K,Ba,Ba,Cl,Cl,1.55,1.35,1.81,0.263803,train
La2CdS4,th3p4,0,1,La,La,Cd,Cd,S,S,1.216,0.95,1.84,0.23596,train
Lu2FeS4,spinel,0,1,Lu,Lu,Fe,Fe,S,S,1.032,0.78,1.84,0.23596,train
Sr2NiO2Cl2,high-tc,0,1,Sr,Sr,Ni,Ni,O,Cl,1.31,0.69,1.605,0.284189,train
K2MoS4,k2so4,0,1,K,K,Mo,Mo,S,S,1.55,0.59,1.84,0.23596,train
LiTmSiO4,olivine,0,1,Li,Tm,Si,Si,O,O,0.986,0.4,1.4,0.304575,train
Er2CdS4,spinel,0,1,Er,Er,Cd,Cd,S,S,1.062,0.95,1.84,0.23596,train
MgMnSiO4,olivine,0,1,Mg,Mn,Si,Si,O,O,0.925,0.4,1.4,0.304575,train
NaTbGeO4,olivine,0,1,Na,Tb,Ge,Ge,O,O,1.1675,0.53,1.4,0.304575,train
Eu2CuO4,high-tc,0,1,Eu,Eu,Cu,Cu,O,O,1.12,0.73,1.4,0.304575,train
EuNdCuO4,high-tc,0,1,Eu,Nd,Cu,Cu,O,O,1.1415000000000002,0.73,1.4,0.304575,train
EuGdCuO4,high-tc,0,1,Eu,Gd,Cu,Cu,O,O,1.1135000000000002,0.73,1.4,0.304575,train
Nd2CaS4,th3p4,0,1,Nd,Nd,Ca,Ca,S,S,1.163,1.0,1.84,0.23596,train
Cr2BeO4,olivine,0,1,Cr,Cr,Be,Be,O,O,0.615,0.45,1.4,0.304575,train
Gd2PdO4,high-tc,0,1,Gd,Gd,Pd,Pd,O,O,1.107,0.86,1.4,0.304575,train
Rb2CoBr4,k2so4,0,1,Rb,Rb,Co,Co,Br,Br,1.63,0.745,1.96,0.2412578,train
La2EuSe4,th3p4,0,1,La,La,Eu,Eu,Se,Se,1.216,1.17,1.98,0.2240328,train
Dy2YbS4,th3p4,0,1,Dy,Dy,Yb,Yb,S,S,1.083,1.02,1.84,0.23596,train
In2CoS4,spinel,0,1,In,In,Co,Co,S,S,0.92,0.745,1.84,0.23596,train
Lu2CaO4,cav2o4,0,1,Lu,Lu,Ca,Ca,O,O,1.032,1.0,1.4,0.304575,train
Gd2CdTe4,th3p4,0,1,Gd,Gd,Cd,Cd,Te,Te,1.107,0.95,2.21,0.2056992,train
Pr2CdS4,th3p4,0,1,Pr,Pr,Cd,Cd,S,S,1.179,0.95,1.84,0.23596,test
Mn2CoO4,spinel,0,1,Mn,Mn,Co,Co,O,O,0.96,0.53,1.4,0.304575,test
Sm2CdSe4,th3p4,0,1,Sm,Sm,Cd,Cd,Se,Se,1.132,0.95,1.98,0.2240328,test
NaYbGeO4,olivine,0,1,Na,Yb,Ge,Ge,O,O,1.141,0.53,1.4,0.304575,test
NaTmGeO4,olivine,0,1,Na,Tm,Ge,Ge,O,O,1.146,0.53,1.4,0.304575,test
LiYGeO4,olivine,0,1,Li,Y,Ge,Ge,O,O,0.9975,0.53,1.4,0.304575,test
LuNaGeO4,olivine,0,1,Lu,Na,Ge,Ge,O,O,1.136,0.53,1.4,0.304575,test
MgMnGeO4,olivine,0,1,Mg,Mn,Ge,Ge,O,O,0.925,0.53,1.4,0.304575,test
MnNiGeS4,olivine,0,1,Mn,Ni,Ge,Ge,S,S,0.825,0.53,1.84,0.23596,test
MnZnGeO4,olivine,0,1,Mn,Zn,Ge,Ge,O,O,0.93,0.53,1.4,0.304575,test
NaSmGeO4,olivine,0,1,Na,Sm,Ge,Ge,O,O,1.186,0.53,1.4,0.304575,test
NaYGeO4,olivine,0,1,Na,Y,Ge,Ge,O,O,1.1575,0.53,1.4,0.304575,test
LiInSiO4,olivine,0,1,Li,In,Si,Si,O,O,0.92,0.4,1.4,0.304575,test
Rb2BeF4,k2so4,0,1,Rb,Rb,Be,Be,F,F,1.63,0.45,1.33,0.344443,test
LiScSiO4,olivine,0,1,Li,Sc,Si,Si,O,O,0.895,0.4,1.4,0.304575,test
LuNaSiO4,olivine,0,1,Lu,Na,Si,Si,O,O,1.136,0.4,1.4,0.304575,test
Zn2SnO4,spinel,0,1,Zn,Zn,Sn,Sn,O,O,0.9,0.69,1.4,0.304575,test
Cs2ZnBr4,k2so4,0,1,Cs,Cs,Zn,Zn,Br,Br,1.78,0.74,1.96,0.2412578,test
Na2MoO4,spinel,0,1,Na,Na,Mo,Mo,O,O,1.24,0.59,1.4,0.304575,test
Cs2MnBr4,k2so4,0,1,Cs,Cs,Mn,Mn,Br,Br,1.78,0.83,1.96,0.2412578,test
Sm2ZnO4,spinel,0,1,Sm,Sm,Zn,Zn,O,O,1.132,0.74,1.4,0.304575,test
In2MgO4,spinel,0,1,In,In,Mg,Mg,O,O,0.92,0.72,1.4,0.304575,test
NaSrVO4,k2so4,0,1,Na,Sr,V,V,O,O,1.275,0.54,1.4,0.304575,test
Ag2MoO4,spinel,0,1,Ag,Ag,Mo,Mo,O,O,1.28,0.59,1.4,0.304575,test
Cs2WS4,k2so4,0,1,Cs,Cs,W,W,S,S,1.78,0.6,1.84,0.23596,test
Ce2CdSe4,th3p4,0,1,Ce,Ce,Cd,Cd,Se,Se,1.196,0.95,1.98,0.2240328,test
NdGaCuO4,high-tc,0,1,Nd,Ga,Cu,Cu,O,O,0.8915,0.73,1.4,0.304575,test
Tl2BeF4,k2so4,0,1,Tl,Tl,Be,Be,F,F,1.59,0.45,1.33,0.344443,test
Rh2BeO4,spinel,0,1,Rh,Rh,Be,Be,O,O,0.665,0.45,1.4,0.304575,test
Bi2EuTe4,th3p4,0,1,Bi,Bi,Eu,Eu,Te,Te,1.17,1.17,2.21,0.2056992,test
Bi2YbTe4,th3p4,0,1,Bi,Bi,Yb,Yb,Te,Te,1.17,1.02,2.21,0.2056992,test
Cs2CdBr4,k2so4,0,1,Cs,Cs,Cd,Cd,Br,Br,1.78,0.95,1.96,0.2412578,test
Cs2CoBr4,k2so4,0,1,Cs,Cs,Co,Co,Br,Br,1.78,0.745,1.96,0.2412578,test
K2CoBr4,k2so4,0,1,K,K,Co,Co,Br,Br,1.55,0.745,1.96,0.2412578,test
Tl2CoBr4,k2so4,0,1,Tl,Tl,Co,Co,Br,Br,1.59,0.745,1.96,0.2412578,test
Yb2CaS4,th3p4,0,1,Yb,Yb,Ca,Ca,S,S,1.042,1.0,1.84,0.23596,test
Ca2SiS4,olivine,0,1,Ca,Ca,Si,Si,S,S,1.18,0.4,1.84,0.23596,test
Pr2CaS4,th3p4,0,1,Pr,Pr,Ca,Ca,S,S,1.179,1.0,1.84,0.23596,test
PrGdCuO4,high-tc,0,1,Pr,Gd,Cu,Cu,O,O,1.143,0.73,1.4,0.304575,test
SmGdCuO4,high-tc,0,1,Sm,Gd,Cu,Cu,O,O,1.1195,0.73,1.4,0.304575,test
SmPrCuO4,high-tc,0,1,Sm,Pr,Cu,Cu,O,O,1.1555,0.73,1.4,0.304575,test
EuPrCuO4,high-tc,0,1,Eu,Pr,Cu,Cu,O,O,1.1495000000000002,0.73,1.4,0.304575,test
Fe2CuO4,spinel,0,1,Fe,Fe,Cu,Cu,O,O,0.78,0.73,1.4,0.304575,test
In2MnO4,spinel,0,1,In,In,Mn,Mn,O,O,0.92,0.83,1.4,0.304575,test
In2MnS4,spinel,0,1,In,In,Mn,Mn,S,S,0.92,0.83,1.84,0.23596,test
In2MnSe4,spinel,0,1,In,In,Mn,Mn,Se,Se,0.92,0.83,1.98,0.2240328,test
Co2VO4,spinel,0,1,Co,Co,V,V,O,O,0.9,0.58,1.4,0.304575,test
Ho2CdS4,spinel,0,1,Ho,Ho,Cd,Cd,S,S,1.072,0.95,1.84,0.23596,test
Rb2BaBr4,th3p4,0,1,Rb,Rb,Ba,Ba,Br,Br,1.63,1.35,1.96,0.2412578,test
Rb2ZnBr4,k2so4,0,1,Rb,Rb,Zn,Zn,Br,Br,1.63,0.74,1.96,0.2412578,test
Ba2TiO4,k2so4,0,1,Ba,Ba,Ti,Ti,O,O,1.47,0.605,1.4,0.304575,test
Cs2ZnI4,k2so4,0,1,Cs,Cs,Zn,Zn,I,I,1.78,0.74,2.2,0.2195175999999999,test
Ca2GeS4,olivine,0,1,Ca,Ca,Ge,Ge,S,S,1.18,0.53,1.84,0.23596,test
K2BeCl4,k2so4,0,1,K,K,Be,Be,Cl,Cl,1.55,0.45,1.81,0.263803,test
Ba2GeO4,olivine,0,1,Ba,Ba,Ge,Ge,O,O,1.47,0.53,1.4,0.304575,test
Ba2SiO4,k2so4,0,1,Ba,Ba,Si,Si,O,O,1.47,0.4,1.4,0.304575,test
Ba2SiS4,k2so4,0,1,Ba,Ba,Si,Si,S,S,1.47,0.4,1.84,0.23596,test
Cs2BeCl4,k2so4,0,1,Cs,Cs,Be,Be,Cl,Cl,1.78,0.45,1.81,0.263803,test
Ba2CrO4,k2so4,0,1,Ba,Ba,Cr,Cr,O,O,1.47,0.55,1.4,0.304575,test
Li2BeCl4,olivine,0,1,Li,Li,Be,Be,Cl,Cl,0.92,0.45,1.81,0.263803,test
Na2BeCl4,olivine,0,1,Na,Na,Be,Be,Cl,Cl,1.24,0.45,1.81,0.263803,test
Co2SnO4,spinel,0,1,Co,Co,Sn,Sn,O,O,0.9,0.69,1.4,0.304575,test
Co2RuO4,spinel,0,1,Co,Co,Ru,Ru,O,O,0.9,0.62,1.4,0.304575,test
Cs2CrO4,k2so4,0,1,Cs,Cs,Cr,Cr,O,O,1.78,0.44,1.4,0.304575,test
Co2RhS4,spinel,0,1,Co,Co,Rh,Rh,S,S,0.9,0.6,1.84,0.23596,test
Co2TiO4,spinel,0,1,Co,Co,Ti,Ti,O,O,0.9,0.605,1.4,0.304575,test
In2ZnS4,spinel,0,1,In,In,Zn,Zn,S,S,0.92,0.74,1.84,0.23596,test
Co2TcO4,spinel,0,1,Co,Co,Tc,Tc,O,O,0.9,0.645,1.4,0.304575,test
K2WSe4,k2so4,0,1,K,K,W,W,Se,Se,1.55,0.6,1.98,0.2240328,test
La2PbS4,th3p4,0,1,La,La,Pb,Pb,S,S,1.216,1.19,1.84,0.23596,test
La2PbSe4,th3p4,0,1,La,La,Pb,Pb,Se,Se,1.216,1.19,1.98,0.2240328,test
La2SrS4,th3p4,0,1,La,La,Sr,Sr,S,S,1.216,1.18,1.84,0.23596,test
Ni2GeO4,spinel,0,1,Ni,Ni,Ge,Ge,O,O,0.69,0.53,1.4,0.304575,test
Mn2GeSe4,olivine,0,1,Mn,Mn,Ge,Ge,Se,Se,0.96,0.53,1.98,0.2240328,test
Mn2GeS4,olivine,0,1,Mn,Mn,Ge,Ge,S,S,0.96,0.53,1.84,0.23596,test
Fe2TiO4,spinel,0,1,Fe,Fe,Ti,Ti,O,O,0.92,0.605,1.4,0.304575,test
Fe2GeSe4,olivine,0,1,Fe,Fe,Ge,Ge,Se,Se,0.92,0.53,1.98,0.2240328,test
In2FeS4,spinel,0,1,In,In,Fe,Fe,S,S,0.92,0.78,1.84,0.23596,test
Zn2GeO4,spinel,0,1,Zn,Zn,Ge,Ge,O,O,0.9,0.53,1.4,0.304575,test
Sr2SiO4,k2so4,0,1,Sr,Sr,Si,Si,O,O,1.31,0.4,1.4,0.304575,test
Cs2WSe4,k2so4,0,1,Cs,Cs,W,W,Se,Se,1.78,0.6,1.98,0.2240328,test
Sm2CdS4,th3p4,0,1,Sm,Sm,Cd,Cd,S,S,1.132,0.95,1.84,0.23596,test
Rb2BaCl4,th3p4,0,1,Rb,Rb,Ba,Ba,Cl,Cl,1.63,1.35,1.81,0.263803,test
Cs2CuBr4,k2so4,0,1,Cs,Cs,Cu,Cu,Br,Br,1.78,0.73,1.96,0.2412578,test
Cs2HgCl4,k2so4,0,1,Cs,Cs,Hg,Hg,Cl,Cl,1.78,1.02,1.81,0.263803,test
Ho2CaS4,th3p4,0,1,Ho,Ho,Ca,Ca,S,S,1.072,1.0,1.84,0.23596,test
K2BeF4,k2so4,0,1,K,K,Be,Be,F,F,1.55,0.45,1.33,0.344443,test
Tb2CdSe4,th3p4,0,1,Tb,Tb,Cd,Cd,Se,Se,1.095,0.95,1.98,0.2240328,test
Lu2CdS4,spinel,0,1,Lu,Lu,Cd,Cd,S,S,1.032,0.95,1.84,0.23596,test
Nd2YbS4,th3p4,0,1,Nd,Nd,Yb,Yb,S,S,1.163,1.02,1.84,0.23596,test
Nd2ZnS4,th3p4,0,1,Nd,Nd,Zn,Zn,S,S,1.163,0.74,1.84,0.23596,test
Ni2SiO4,spinel,0,1,Ni,Ni,Si,Si,O,O,0.69,0.4,1.4,0.304575,test
Ni2SnO4,spinel,0,1,Ni,Ni,Sn,Sn,O,O,0.69,0.69,1.4,0.304575,test
Mn2NiO4,spinel,0,1,Mn,Mn,Ni,Ni,O,O,0.96,0.48,1.4,0.304575,test
Zn2PtO4,spinel,0,1,Zn,Zn,Pt,Pt,O,O,0.9,0.625,1.4,0.304575,test
Lu2MgSe4,spinel,0,1,Lu,Lu,Mg,Mg,Se,Se,1.032,0.72,1.98,0.2240328,test
Sc2MnS4,spinel,0,1,Sc,Sc,Mn,Mn,S,S,0.87,0.83,1.84,0.23596,test
La2CdTe4,th3p4,0,1,La,La,Cd,Cd,Te,Te,1.216,0.95,2.21,0.2056992,test
Cs2BeF4,k2so4,0,1,Cs,Cs,Be,Be,F,F,1.78,0.45,1.33,0.344443,test
La2CdSe4,th3p4,0,1,La,La,Cd,Cd,Se,Se,1.216,0.95,1.98,0.2240328,test
Yb2CdSe4,spinel,0,1,Yb,Yb,Cd,Cd,Se,Se,1.042,0.95,1.98,0.2240328,test
V2FeO4,spinel,0,1,V,V,Fe,Fe,O,O,0.79,0.645,1.4,0.304575,test
Ho2MgSe4,spinel,0,1,Ho,Ho,Mg,Mg,Se,Se,1.072,0.72,1.98,0.2240328,test
Na2WO4,spinel,0,1,Na,Na,W,W,O,O,1.24,0.6,1.4,0.304575,test
Rb2MoS4,k2so4,0,1,Rb,Rb,Mo,Mo,S,S,1.63,0.59,1.84,0.23596,test
Yb2MnSe4,spinel,0,1,Yb,Yb,Mn,Mn,Se,Se,1.042,0.83,1.98,0.2240328,test
Mn2SiSe4,spinel,0,1,Mn,Mn,Si,Si,Se,Se,0.96,0.4,1.98,0.2240328,test
Mg2GeS4,olivine,0,1,Mg,Mg,Ge,Ge,S,S,0.89,0.53,1.84,0.23596,test
Sc2FeS4,spinel,0,1,Sc,Sc,Fe,Fe,S,S,0.87,0.78,1.84,0.23596,test
Fe2SnS4,spinel,0,1,Fe,Fe,Sn,Sn,S,S,0.92,0.69,1.84,0.23596,test
Yb2FeS4,spinel,0,1,Yb,Yb,Fe,Fe,S,S,1.14,0.645,1.84,0.23596,test
Tm2CdSe4,spinel,0,1,Tm,Tm,Cd,Cd,Se,Se,1.052,0.95,1.98,0.2240328,test
Y2CdSe4,spinel,0,1,Y,Y,Cd,Cd,Se,Se,1.075,0.95,1.98,0.2240328,test
K2ZnCl4,k2so4,0,1,K,K,Zn,Zn,Cl,Cl,1.55,0.74,1.81,0.263803,test
Li2MgCl4,spinel,0,1,Li,Li,Mg,Mg,Cl,Cl,0.92,0.72,1.81,0.263803,test
Li2VCl4,spinel,0,1,Li,Li,V,V,Cl,Cl,0.92,0.79,1.81,0.263803,test
Li2ZnCl4,olivine,0,1,Li,Li,Zn,Zn,Cl,Cl,0.92,0.74,1.81,0.263803,test
Rb2CrO4,k2so4,0,1,Rb,Rb,Cr,Cr,O,O,1.63,0.44,1.4,0.304575,test
Ho2CdSe4,spinel,0,1,Ho,Ho,Cd,Cd,Se,Se,1.072,0.95,1.98,0.2240328,test
Ce2PbS4,th3p4,0,1,Ce,Ce,Pb,Pb,S,S,1.196,1.19,1.84,0.23596,test
Cd2SnO4,spinel,0,1,Cd,Cd,Sn,Sn,O,O,1.1,0.69,1.4,0.304575,test
K2CuCl4,k2so4,0,1,K,K,Cu,Cu,Cl,Cl,1.55,0.73,1.81,0.263803,test
K2EuCl4,th3p4,0,1,K,K,Eu,Eu,Cl,Cl,1.55,1.17,1.81,0.263803,test
Lu2MgS4,spinel,0,1,Lu,Lu,Mg,Mg,S,S,1.032,0.72,1.84,0.23596,test
La2SrSe4,th3p4,0,1,La,La,Sr,Sr,Se,Se,1.216,1.18,1.98,0.2240328,test
Mg2GeO4,spinel,0,1,Mg,Mg,Ge,Ge,O,O,0.89,0.53,1.4,0.304575,test
Gd2ZnS4,th3p4,0,1,Gd,Gd,Zn,Zn,S,S,1.107,0.74,1.84,0.23596,test
Gd2MnS4,th3p4,0,1,Gd,Gd,Mn,Mn,S,S,1.107,0.83,1.84,0.23596,test
Sc2MnSe4,spinel,0,1,Sc,Sc,Mn,Mn,Se,Se,0.87,0.83,1.98,0.2240328,test
Yb2MnS4,spinel,0,1,Yb,Yb,Mn,Mn,S,S,1.042,0.83,1.84,0.23596,test
Ho2YbS4,th3p4,0,1,Ho,Ho,Yb,Yb,S,S,1.072,1.02,1.84,0.23596,test
K2CrO4,k2so4,0,1,K,K,Cr,Cr,O,O,1.55,0.44,1.4,0.304575,test
Gd2CrS4,th3p4,0,1,Gd,Gd,Cr,Cr,S,S,1.107,0.8,1.84,0.23596,test
Na2ZnCl4,olivine,0,1,Na,Na,Zn,Zn,Cl,Cl,1.24,0.74,1.81,0.263803,test
Rb2ZnCl4,k2so4,0,1,Rb,Rb,Zn,Zn,Cl,Cl,1.63,0.74,1.81,0.263803,test
Cs2CoI4,k2so4,0,1,Cs,Cs,Co,Co,I,I,1.78,0.745,2.2,0.2195175999999999,test
Fe2CoO4,spinel,0,1,Fe,Fe,Co,Co,O,O,0.78,0.745,1.4,0.304575,test
Rb2CoI4,spinel,0,1,Rb,Rb,Co,Co,I,I,1.63,0.745,2.2,0.2195175999999999,test
Cu2GeO4,spinel,0,1,Cu,Cu,Ge,Ge,O,O,0.73,0.53,1.4,0.304575,test
La2CaS4,th3p4,0,1,La,La,Ca,Ca,S,S,1.216,1.0,1.84,0.23596,test
Sm2PdO4,high-tc,0,1,Sm,Sm,Pd,Pd,O,O,1.132,0.86,1.4,0.304575,test
Nd2PdO4,high-tc,0,1,Nd,Nd,Pd,Pd,O,O,1.163,0.86,1.4,0.304575,test
La2PdO4,high-tc,0,1,La,La,Pd,Pd,O,O,1.216,0.86,1.4,0.304575,test
Gd2CuO4,high-tc,0,1,Gd,Gd,Cu,Cu,O,O,1.107,0.73,1.4,0.304575,test
Y2CuO4,high-tc,0,1,Y,Y,Cu,Cu,O,O,1.075,0.73,1.4,0.304575,test
Tm2CuO4,high-tc,0,1,Tm,Tm,Cu,Cu,O,O,1.052,0.73,1.4,0.304575,test
Sm2CuO4,high-tc,0,1,Sm,Sm,Cu,Cu,O,O,1.132,0.73,1.4,0.304575,test
In2CuO4,high-tc,0,1,In,In,Cu,Cu,O,O,0.92,0.73,1.4,0.304575,test
Ho2CuO4,high-tc,0,1,Ho,Ho,Cu,Cu,O,O,1.072,0.73,1.4,0.304575,test
In2CrS4,spinel,0,1,In,In,Cr,Cr,S,S,0.92,0.8,1.84,0.23596,test
Pr2EuS4,th3p4,0,1,Pr,Pr,Eu,Eu,S,S,1.179,1.17,1.84,0.23596,test
FeMnSiO4,olivine,0,1,Fe,Mn,Si,Si,O,O,0.94,0.4,1.4,0.304575,test
Eu2ZnO4,spinel,0,1,Eu,Eu,Zn,Zn,O,O,1.12,0.74,1.4,0.304575,test
Cs2BaCl4,th3p4,0,1,Cs,Cs,Ba,Ba,Cl,Cl,1.78,1.35,1.81,0.263803,test
Cd2GeO4,olivine,0,1,Cd,Cd,Ge,Ge,O,O,1.1,0.53,1.4,0.304575,test
Ca2SnS4,olivine,0,1,Ca,Ca,Sn,Sn,S,S,1.18,0.69,1.84,0.23596,test
Ce2CdS4,th3p4,0,1,Ce,Ce,Cd,Cd,S,S,1.196,0.95,1.84,0.23596,test
Li2ZnI4,olivine,0,1,Li,Li,Zn,Zn,I,I,0.92,0.74,2.2,0.2195175999999999,test
Cs2CdI4,k2so4,0,1,Cs,Cs,Cd,Cd,I,I,1.78,0.95,2.2,0.2195175999999999,test
Dy2CdS4,spinel,0,1,Dy,Dy,Cd,Cd,S,S,1.083,0.95,1.84,0.23596,test
Dy2CdSe4,spinel,0,1,Dy,Dy,Cd,Cd,Se,Se,1.083,0.95,1.98,0.2240328,test
Dy2CdTe4,spinel,0,1,Dy,Dy,Cd,Cd,Te,Te,1.083,0.95,2.21,0.2056992,test
Er2CdSe4,spinel,0,1,Er,Er,Cd,Cd,Se,Se,1.062,0.95,1.98,0.2240328,test
Gd2CdS4,th3p4,0,1,Gd,Gd,Cd,Cd,S,S,1.107,0.95,1.84,0.23596,test
Gd2CdSe4,th3p4,0,1,Gd,Gd,Cd,Cd,Se,Se,1.107,0.95,1.98,0.2240328,test
Ni2CoS4,spinel,0,1,Ni,Ni,Co,Co,S,S,0.69,0.53,1.84,0.23596,test
Co2GeO4,spinel,0,1,Co,Co,Ge,Ge,O,O,0.9,0.53,1.4,0.304575,test
Er2MgSe4,spinel,0,1,Er,Er,Mg,Mg,Se,Se,1.062,0.72,1.98,0.2240328,test
Er2ZnS4,olivine,0,1,Er,Er,Zn,Zn,S,S,1.062,0.74,1.84,0.23596,test
Eu2SiO4,k2so4,0,1,Eu,Eu,Si,Si,O,O,1.3,0.4,1.4,0.304575,test
Yb2CaO4,cav2o4,0,1,Yb,Yb,Ca,Ca,O,O,1.042,1.0,1.4,0.304575,train
