Substance,Label,n,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,fold_2
Rb2ZnCl4,0.0,1.0,1.63,0.74,1.81,1.0,2.0,-1.0,0.104686,0.1551518,0.263803,4.177128,9.394199,12.96763,1.0,12.0,7.0,train
Na2ZnCl4,0.0,1.0,1.24,0.74,1.81,1.0,2.0,-1.0,0.093214,0.1551518,0.263803,5.1390767,9.394199,12.96763,1.0,12.0,7.0,train
Gd2CrS4,0.0,1.0,1.107,0.8,1.84,3.0,2.0,-2.0,0.1944,0.1313053,0.23596,6.149796,6.76651,10.36001,10.0,6.0,6.0,train
Pr2EuS4,0.0,1.0,1.179,1.17,1.84,3.0,2.0,-2.0,0.17208,0.189935,0.23596,5.473,5.670385,10.36001,5.0,9.0,6.0,train
Eu2ZnO4,0.0,1.0,1.12,0.74,1.4,3.0,2.0,-2.0,0.189935,0.1551518,0.304575,5.670385,9.394199,13.618054,9.0,12.0,6.0,train
Eu2SiO4,0.0,1.0,1.3,0.4,1.4,2.0,4.0,-2.0,0.189935,0.178503,0.304575,5.670385,8.151683,13.618054,9.0,4.0,6.0,train
La2EuSe4,0.0,1.0,1.216,1.17,1.98,3.0,2.0,-2.0,0.163142,0.189935,0.2240328,5.5769,5.670385,9.752392,3.0,9.0,6.0,train
Er2ZnS4,0.0,1.0,1.062,0.74,1.84,3.0,2.0,-2.0,0.212261,0.1551518,0.23596,6.1077,9.394199,10.36001,14.0,12.0,6.0,train
Er2MgSe4,0.0,1.0,1.062,0.72,1.98,3.0,2.0,-2.0,0.212261,0.121644,0.2240328,6.1077,7.646235,9.752392,14.0,2.0,6.0,train
Dy2YbS4,0.0,1.0,1.083,1.02,1.84,3.0,2.0,-2.0,0.20333,0.22119,0.23596,5.93905,6.25416,10.36001,12.0,16.0,6.0,train
Co2GeO4,0.0,1.0,0.9,0.53,1.4,2.0,4.0,-2.0,0.1432363,0.1895892,0.304575,7.88101,7.899435,13.618054,9.0,4.0,6.0,train
In2CoS4,0.0,1.0,0.92,0.745,1.84,3.0,2.0,-2.0,0.16423,0.1432363,0.23596,5.7863552,7.88101,10.36001,3.0,9.0,6.0,train
Lu2CaO4,0.0,1.0,1.032,1.0,1.4,3.0,2.0,-2.0,0.22565,0.1154119,0.304575,5.425871,6.1131552,13.618054,17.0,2.0,6.0,train
Ni2CoS4,0.0,1.0,0.69,0.53,1.84,2.0,4.0,-2.0,0.1472068,0.1432363,0.23596,7.639877,7.88101,10.36001,10.0,9.0,6.0,train
Gd2CdTe4,0.0,1.0,1.107,0.95,2.21,3.0,2.0,-2.0,0.1944,0.1504066,0.2056992,6.149796,8.993822,9.00966,10.0,12.0,6.0,train
Gd2CdSe4,0.0,1.0,1.107,0.95,1.98,3.0,2.0,-2.0,0.1944,0.1504066,0.2240328,6.149796,8.993822,9.752392,10.0,12.0,6.0,train
Gd2CdS4,0.0,1.0,1.107,0.95,1.84,3.0,2.0,-2.0,0.1944,0.1504066,0.23596,6.149796,8.993822,10.36001,10.0,12.0,6.0,train
Er2CdS4,0.0,1.0,1.062,0.95,1.84,3.0,2.0,-2.0,0.212261,0.1504066,0.23596,6.1077,8.993822,10.36001,14.0,12.0,6.0,train
Dy2CdTe4,0.0,1.0,1.083,0.95,2.21,3.0,2.0,-2.0,0.20333,0.1504066,0.2056992,5.93905,8.993822,9.00966,12.0,12.0,6.0,train
Dy2CdSe4,0.0,1.0,1.083,0.95,1.98,3.0,2.0,-2.0,0.20333,0.1504066,0.2240328,5.93905,8.993822,9.752392,12.0,12.0,6.0,train
Li2ZnI4,0.0,1.0,0.92,0.74,2.2,1.0,2.0,-1.0,0.105093,0.1551518,0.2195175999999999,5.391714761,9.394199,10.45126,1.0,12.0,7.0,train
Cd2GeO4,0.0,1.0,1.1,0.53,1.4,2.0,4.0,-2.0,0.1504066,0.1895892,0.304575,8.993822,7.899435,13.618054,12.0,4.0,6.0,train
Cs2BaBr4,0.0,1.0,1.78,1.35,1.96,1.0,2.0,-1.0,0.1542125,0.1586786,0.2412578,3.893905548,5.211664,11.81381,1.0,2.0,7.0,train
Cs2BaCl4,0.0,1.0,1.78,1.35,1.81,1.0,2.0,-1.0,0.1542125,0.1586786,0.263803,3.893905548,5.211664,12.96763,1.0,2.0,7.0,train
Rb2MnI4,0.0,1.0,1.63,0.83,2.2,1.0,2.0,-1.0,0.104686,0.1352844,0.2195175999999999,4.177128,7.434018,10.45126,1.0,7.0,7.0,train
FeMnSiO4,0.0,1.0,0.94,0.4,1.4,2.0,4.0,-2.0,0.1372688,0.178503,0.304575,7.6682429,8.151683,13.618054,7.5,4.0,6.0,train
Ho2YbS4,0.0,1.0,1.072,1.02,1.84,3.0,2.0,-2.0,0.207795,0.22119,0.23596,6.0215,6.25416,10.36001,13.0,16.0,6.0,train
Rb2MoSe4,0.0,1.0,1.63,0.59,1.98,1.0,6.0,-2.0,0.104686,0.1312672,0.2240328,4.177128,7.09243,9.752392,1.0,6.0,6.0,train
Mn2SiS4,0.0,1.0,0.96,0.4,1.84,2.0,4.0,-2.0,0.1352844,0.178503,0.23596,7.434018,8.151683,10.36001,7.0,4.0,6.0,train
Tm2MnS4,0.0,1.0,1.052,0.83,1.84,3.0,2.0,-2.0,0.2167244,0.1352844,0.23596,6.18431,7.434018,10.36001,15.0,7.0,6.0,train
Yb2MnS4,0.0,1.0,1.042,0.83,1.84,3.0,2.0,-2.0,0.22119,0.1352844,0.23596,6.25416,7.434018,10.36001,16.0,7.0,6.0,train
Sc2MnSe4,0.0,1.0,0.87,0.83,1.98,3.0,2.0,-2.0,0.1193833,0.1352844,0.2240328,6.56149,7.434018,9.752392,3.0,7.0,6.0,train
Mn2SiSe4,0.0,1.0,0.96,0.4,1.98,2.0,4.0,-2.0,0.1352844,0.178503,0.2240328,7.434018,8.151683,9.752392,7.0,4.0,6.0,train
Yb2MnSe4,0.0,1.0,1.042,0.83,1.98,3.0,2.0,-2.0,0.22119,0.1352844,0.2240328,6.25416,7.434018,9.752392,16.0,7.0,6.0,train
Rb2MoS4,0.0,1.0,1.63,0.59,1.84,1.0,6.0,-2.0,0.104686,0.1312672,0.23596,4.177128,7.09243,10.36001,1.0,6.0,6.0,train
Na2WO4,0.0,1.0,1.24,0.6,1.4,1.0,6.0,-2.0,0.093214,0.2390504,0.304575,5.1390767,7.86403,13.618054,1.0,6.0,6.0,train
Ho2MgSe4,0.0,1.0,1.072,0.72,1.98,3.0,2.0,-2.0,0.207795,0.121644,0.2240328,6.0215,7.646235,9.752392,13.0,2.0,6.0,train
V2FeO4,0.0,1.0,0.79,0.645,1.4,2.5,3.0,-2.0,0.1273344,0.1392532,0.304575,6.746187,7.9024678,13.618054,5.0,8.0,6.0,train
Fe2SiO4,0.0,1.0,0.92,0.4,1.4,2.0,4.0,-2.0,0.1392532,0.178503,0.304575,7.9024678,8.151683,13.618054,8.0,4.0,6.0,train
Tb2CdS4,0.0,1.0,1.095,0.95,1.84,3.0,2.0,-2.0,0.198863,0.1504066,0.23596,5.8638,8.993822,10.36001,11.0,12.0,6.0,train
La2CdSe4,0.0,1.0,1.216,0.95,1.98,3.0,2.0,-2.0,0.163142,0.1504066,0.2240328,5.5769,8.993822,9.752392,3.0,12.0,6.0,train
Lu2CdS4,0.0,1.0,1.032,0.95,1.84,3.0,2.0,-2.0,0.22565,0.1504066,0.23596,5.425871,8.993822,10.36001,17.0,12.0,6.0,train
Mn2VO4,0.0,1.0,0.96,0.58,1.4,2.0,4.0,-2.0,0.1352844,0.1273344,0.304575,7.434018,6.746187,13.618054,7.0,5.0,6.0,train
Lu2MgSe4,0.0,1.0,1.032,0.72,1.98,3.0,2.0,-2.0,0.22565,0.121644,0.2240328,5.425871,7.646235,9.752392,17.0,2.0,6.0,train
Zn2PtO4,0.0,1.0,0.9,0.625,1.4,2.0,4.0,-2.0,0.1551518,0.25691,0.304575,9.394199,8.95883,13.618054,12.0,10.0,6.0,train
Ni2SnO4,0.0,1.0,0.69,0.69,1.4,2.0,4.0,-2.0,0.1472068,0.178052,0.304575,7.639877,7.343917,13.618054,10.0,4.0,6.0,train
Ni2SiO4,0.0,1.0,0.69,0.4,1.4,2.0,4.0,-2.0,0.1472068,0.178503,0.304575,7.639877,8.151683,13.618054,10.0,4.0,6.0,train
Nd2ZnS4,0.0,1.0,1.163,0.74,1.84,3.0,2.0,-2.0,0.176539,0.1551518,0.23596,5.525,9.394199,10.36001,6.0,12.0,6.0,train
Nd2YbS4,0.0,1.0,1.163,1.02,1.84,3.0,2.0,-2.0,0.176539,0.22119,0.23596,5.525,6.25416,10.36001,6.0,16.0,6.0,train
Mg2GeS4,0.0,1.0,0.89,0.53,1.84,2.0,4.0,-2.0,0.121644,0.1895892,0.23596,7.646235,7.899435,10.36001,2.0,4.0,6.0,train
Sc2FeS4,0.0,1.0,0.87,0.78,1.84,3.0,2.0,-2.0,0.1193833,0.1392532,0.23596,6.56149,7.9024678,10.36001,3.0,8.0,6.0,train
Fe2SiS4,0.0,1.0,0.92,0.4,1.84,2.0,4.0,-2.0,0.1392532,0.178503,0.23596,7.9024678,8.151683,10.36001,8.0,4.0,6.0,train
Fe2SnS4,0.0,1.0,0.92,0.69,1.84,2.0,4.0,-2.0,0.1392532,0.178052,0.23596,7.9024678,7.343917,10.36001,8.0,4.0,6.0,train
Gd2ZnS4,0.0,1.0,1.107,0.74,1.84,3.0,2.0,-2.0,0.1944,0.1551518,0.23596,6.149796,9.394199,10.36001,10.0,12.0,6.0,train
Mg2GeO4,0.0,1.0,0.89,0.53,1.4,2.0,4.0,-2.0,0.121644,0.1895892,0.304575,7.646235,7.899435,13.618054,2.0,4.0,6.0,train
La2SrSe4,0.0,1.0,1.216,1.18,1.98,3.0,2.0,-2.0,0.163142,0.1185082,0.2240328,5.5769,5.6948672,9.752392,3.0,2.0,6.0,train
K2PbCl4,0.0,1.0,1.55,1.19,1.81,1.0,2.0,-1.0,0.0981896,0.177911,0.263803,4.34066354,7.4166796,12.96763,1.0,4.0,7.0,train
K2EuCl4,0.0,1.0,1.55,1.17,1.81,1.0,2.0,-1.0,0.0981896,0.189935,0.263803,4.34066354,5.670385,12.96763,1.0,9.0,7.0,train
Cd2SnO4,0.0,1.0,1.1,0.69,1.4,2.0,4.0,-2.0,0.1504066,0.178052,0.304575,8.993822,7.343917,13.618054,12.0,4.0,6.0,train
K2SrCl4,0.0,1.0,1.55,1.18,1.81,1.0,2.0,-1.0,0.0981896,0.1185082,0.263803,4.34066354,5.6948672,12.96763,1.0,2.0,7.0,train
Ce2PbS4,0.0,1.0,1.196,1.19,1.84,3.0,2.0,-2.0,0.16761,0.177911,0.23596,5.5386,7.4166796,10.36001,4.0,4.0,6.0,train
Ce2EuSe4,0.0,1.0,1.196,1.17,1.98,3.0,2.0,-2.0,0.16761,0.189935,0.2240328,5.5386,5.670385,9.752392,4.0,9.0,6.0,train
Rb2CrO4,0.0,1.0,1.63,0.44,1.4,1.0,6.0,-2.0,0.104686,0.1313053,0.304575,4.177128,6.76651,13.618054,1.0,6.0,6.0,train
Li2ZnCl4,0.0,1.0,0.92,0.74,1.81,1.0,2.0,-1.0,0.105093,0.1551518,0.263803,5.391714761,9.394199,12.96763,1.0,12.0,7.0,train
Li2VCl4,0.0,1.0,0.92,0.79,1.81,1.0,2.0,-1.0,0.105093,0.1273344,0.263803,5.391714761,6.746187,12.96763,1.0,5.0,7.0,train
Li2MgCl4,0.0,1.0,0.92,0.72,1.81,1.0,2.0,-1.0,0.105093,0.121644,0.263803,5.391714761,7.646235,12.96763,1.0,2.0,7.0,train
K2ZnCl4,0.0,1.0,1.55,0.74,1.81,1.0,2.0,-1.0,0.0981896,0.1551518,0.263803,4.34066354,9.394199,12.96763,1.0,12.0,7.0,train
Y2CdSe4,0.0,1.0,1.075,0.95,1.98,3.0,2.0,-2.0,0.1216986,0.1504066,0.2240328,6.21726,8.993822,9.752392,3.0,12.0,6.0,train
Tm2CdSe4,0.0,1.0,1.052,0.95,1.98,3.0,2.0,-2.0,0.2167244,0.1504066,0.2240328,6.18431,8.993822,9.752392,15.0,12.0,6.0,train
Tb2CdSe4,0.0,1.0,1.095,0.95,1.98,3.0,2.0,-2.0,0.198863,0.1504066,0.2240328,5.8638,8.993822,9.752392,11.0,12.0,6.0,train
Sm2CdSe4,0.0,1.0,1.132,0.95,1.98,3.0,2.0,-2.0,0.185468,0.1504066,0.2240328,5.64371,8.993822,9.752392,8.0,12.0,6.0,train
Yb2CdS4,0.0,1.0,1.042,0.95,1.84,3.0,2.0,-2.0,0.22119,0.1504066,0.23596,6.25416,8.993822,10.36001,16.0,12.0,6.0,train
Pr2CdSe4,0.0,1.0,1.179,0.95,1.98,3.0,2.0,-2.0,0.17208,0.1504066,0.2240328,5.473,8.993822,9.752392,5.0,12.0,6.0,train
Pr2CdS4,0.0,1.0,1.179,0.95,1.84,3.0,2.0,-2.0,0.17208,0.1504066,0.23596,5.473,8.993822,10.36001,5.0,12.0,6.0,train
Nd2CdSe4,0.0,1.0,1.163,0.95,1.98,3.0,2.0,-2.0,0.176539,0.1504066,0.2240328,5.525,8.993822,9.752392,6.0,12.0,6.0,train
Nd2CdS4,0.0,1.0,1.163,0.95,1.84,3.0,2.0,-2.0,0.176539,0.1504066,0.23596,5.525,8.993822,10.36001,6.0,12.0,6.0,train
Tl2CoCl4,0.0,1.0,1.59,0.745,1.81,1.0,2.0,-1.0,0.173447,0.1432363,0.263803,6.108287,7.88101,12.96763,3.0,9.0,7.0,train
Na2CoCl4,0.0,1.0,1.24,0.745,1.81,1.0,2.0,-1.0,0.093214,0.1432363,0.263803,5.1390767,7.88101,12.96763,1.0,9.0,7.0,train
Li2CoCl4,0.0,1.0,0.92,0.745,1.81,1.0,2.0,-1.0,0.105093,0.1432363,0.263803,5.391714761,7.88101,12.96763,1.0,9.0,7.0,train
Cs2CoCl4,0.0,1.0,1.78,0.745,1.81,1.0,2.0,-1.0,0.1542125,0.1432363,0.263803,3.893905548,7.88101,12.96763,1.0,9.0,7.0,train
Ce2YbS4,0.0,1.0,1.196,1.02,1.84,3.0,2.0,-2.0,0.16761,0.22119,0.23596,5.5386,6.25416,10.36001,4.0,16.0,6.0,train
Ce2SrS4,0.0,1.0,1.196,1.18,1.84,3.0,2.0,-2.0,0.16761,0.1185082,0.23596,5.5386,5.6948672,10.36001,4.0,2.0,6.0,train
Sm2CeS4,0.0,1.0,1.32,1.01,1.84,2.5,3.0,-2.0,0.185468,0.16761,0.23596,5.64371,5.5386,10.36001,8.0,4.0,6.0,train
Lu2CdSe4,0.0,1.0,1.032,0.95,1.98,3.0,2.0,-2.0,0.22565,0.1504066,0.2240328,5.425871,8.993822,9.752392,17.0,12.0,6.0,train
Yb2MgSe4,0.0,1.0,1.042,0.72,1.98,3.0,2.0,-2.0,0.22119,0.121644,0.2240328,6.25416,7.646235,9.752392,16.0,2.0,6.0,train
Y2MgSe4,0.0,1.0,1.075,0.72,1.98,3.0,2.0,-2.0,0.1216986,0.121644,0.2240328,6.21726,7.646235,9.752392,3.0,2.0,6.0,train
Tm2MgSe4,0.0,1.0,1.052,0.72,1.98,3.0,2.0,-2.0,0.2167244,0.121644,0.2240328,6.18431,7.646235,9.752392,15.0,2.0,6.0,train
MnNaAsO4,0.0,1.0,1.1,0.46,1.4,1.5,5.0,-2.0,0.1142492,0.2068208,0.304575,6.28654735,9.789,13.618054,4.0,5.0,6.0,train
Li2NiF4,0.0,1.0,0.92,0.69,1.33,1.0,2.0,-1.0,0.105093,0.1472068,0.344443,5.391714761,7.639877,17.42282,1.0,10.0,7.0,train
Pr2EuSe4,0.0,1.0,1.179,1.17,1.98,3.0,2.0,-2.0,0.17208,0.189935,0.2240328,5.473,5.670385,9.752392,5.0,9.0,6.0,train
Mn2GeO4,0.0,1.0,0.96,0.53,1.4,2.0,4.0,-2.0,0.1352844,0.1895892,0.304575,7.434018,7.899435,13.618054,7.0,4.0,6.0,train
Dy2CaS4,0.0,1.0,1.083,1.0,1.84,3.0,2.0,-2.0,0.20333,0.1154119,0.23596,5.93905,6.1131552,10.36001,12.0,2.0,6.0,train
Na2ZnBr4,0.0,1.0,1.24,0.74,1.96,1.0,2.0,-1.0,0.093214,0.1551518,0.2412578,5.1390767,9.394199,11.81381,1.0,12.0,7.0,train
Li2ZnBr4,0.0,1.0,0.92,0.74,1.96,1.0,2.0,-1.0,0.105093,0.1551518,0.2412578,5.391714761,9.394199,11.81381,1.0,12.0,7.0,train
Tm2CdS4,0.0,1.0,1.052,0.95,1.84,3.0,2.0,-2.0,0.2167244,0.1504066,0.23596,6.18431,8.993822,10.36001,15.0,12.0,6.0,train
NaSrAsO4,0.0,1.0,1.275,0.46,1.4,1.5,5.0,-2.0,0.1058611,0.2068208,0.304575,5.41697195,9.789,13.618054,1.5,5.0,6.0,train
Li2MnBr2Cl2,0.0,1.0,0.92,0.83,1.885,1.0,2.0,-1.0,0.105093,0.1352844,0.2525304,5.391714761,7.434018,12.39072,1.0,7.0,7.0,train
LiScGeO4,0.0,1.0,0.895,0.53,1.4,2.0,4.0,-2.0,0.11223815,0.1895892,0.304575,5.976602381,7.899435,13.618054,2.0,4.0,6.0,train
LiInGeO4,0.0,1.0,0.92,0.53,1.4,2.0,4.0,-2.0,0.1346615,0.1895892,0.304575,5.589034981,7.899435,13.618054,2.0,4.0,6.0,train
GdNaGeO4,0.0,1.0,1.1735,0.53,1.4,2.0,4.0,-2.0,0.143807,0.1895892,0.304575,5.64443635,7.899435,13.618054,5.5,4.0,6.0,train
RbBaVO4,0.0,1.0,1.5499999999999998,0.54,1.4,1.5,5.0,-2.0,0.1316823,0.1273344,0.304575,4.694396,6.746187,13.618054,1.5,5.0,6.0,train
LiNaBeF4,0.0,1.0,1.08,0.45,1.33,1.0,2.0,-1.0,0.0991535,0.144986,0.344443,5.265395731,9.322699,17.42282,1.0,2.0,7.0,train
K2WS4,0.0,1.0,1.55,0.6,1.84,1.0,6.0,-2.0,0.0981896,0.2390504,0.23596,4.34066354,7.86403,10.36001,1.0,6.0,6.0,train
Cs2MoSe4,0.0,1.0,1.78,0.59,1.98,1.0,6.0,-2.0,0.1542125,0.1312672,0.2240328,3.893905548,7.09243,9.752392,1.0,6.0,6.0,train
Ba2VO4,0.0,1.0,1.47,0.58,1.4,2.0,4.0,-2.0,0.1586786,0.1273344,0.304575,5.211664,6.746187,13.618054,2.0,5.0,6.0,train
Mg2SiO4,0.0,1.0,0.89,0.4,1.4,2.0,4.0,-2.0,0.121644,0.178503,0.304575,7.646235,8.151683,13.618054,2.0,4.0,6.0,train
EuNaGeO4,0.0,1.0,1.1800000000000002,0.53,1.4,2.0,4.0,-2.0,0.1415745,0.1895892,0.304575,5.40473085,7.899435,13.618054,5.0,4.0,6.0,train
ErNaGeO4,0.0,1.0,1.151,0.53,1.4,2.0,4.0,-2.0,0.1527375,0.1895892,0.304575,5.62338835,7.899435,13.618054,7.5,4.0,6.0,train
CoMnGeS4,0.0,1.0,0.93,0.53,1.84,2.0,4.0,-2.0,0.13926035,0.1895892,0.23596,7.657514,7.899435,10.36001,8.0,4.0,6.0,train
CoMnGeO4,0.0,1.0,0.93,0.53,1.4,2.0,4.0,-2.0,0.13926035,0.1895892,0.304575,7.657514,7.899435,13.618054,8.0,4.0,6.0,train
CaMnSiO4,0.0,1.0,1.0699999999999998,0.4,1.4,2.0,4.0,-2.0,0.12534815,0.178503,0.304575,6.7735866,8.151683,13.618054,4.5,4.0,6.0,train
CaMgSiO4,0.0,1.0,1.035,0.4,1.4,2.0,4.0,-2.0,0.11852795,0.178503,0.304575,6.8796951,8.151683,13.618054,2.0,4.0,6.0,train
KCaVO4,0.0,1.0,1.365,0.54,1.4,1.5,5.0,-2.0,0.10680075,0.1273344,0.304575,5.22690937,6.746187,13.618054,1.5,5.0,6.0,train
CaYGaO4,0.0,1.0,1.1275,0.62,1.4,2.5,3.0,-2.0,0.11855525,0.1723773,0.304575,6.1652076,5.9993018,13.618054,2.5,3.0,6.0,train
CaLaGaO4,0.0,1.0,1.198,0.62,1.4,2.5,3.0,-2.0,0.13927695,0.1723773,0.304575,5.8450276,5.9993018,13.618054,2.5,3.0,6.0,train
KSrAsO4,0.0,1.0,1.4300000000000002,0.46,1.4,1.5,5.0,-2.0,0.1083489,0.2068208,0.304575,5.01776537,9.789,13.618054,1.5,5.0,6.0,train
CaNaAsO4,0.0,1.0,1.21,0.46,1.4,1.5,5.0,-2.0,0.10431295,0.2068208,0.304575,5.62611595,9.789,13.618054,1.5,5.0,6.0,train
Sc2MgSe4,0.0,1.0,0.87,0.72,1.98,3.0,2.0,-2.0,0.1193833,0.121644,0.2240328,6.56149,7.646235,9.752392,3.0,2.0,6.0,train
Cs2MnI4,0.0,1.0,1.78,0.83,2.2,1.0,2.0,-1.0,0.1542125,0.1352844,0.2195175999999999,3.893905548,7.434018,10.45126,1.0,7.0,7.0,train
