Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX
NaSrVO4,k2so4,0,1,Na,Sr,V,V,O,O,1.275,0.54,1.4,0.304575
Ag2MoO4,spinel,0,1,Ag,Ag,Mo,Mo,O,O,1.28,0.59,1.4,0.304575
Cs2WS4,k2so4,0,1,Cs,Cs,W,W,S,S,1.78,0.6,1.84,0.23596
Ce2CdSe4,th3p4,0,1,Ce,Ce,Cd,Cd,Se,Se,1.196,0.95,1.98,0.2240328
Fe2CuO4,spinel,0,1,Fe,Fe,Cu,Cu,O,O,0.78,0.73,1.4,0.304575
EuPrCuO4,high-tc,0,1,Eu,Pr,Cu,Cu,O,O,1.1495000000000002,0.73,1.4,0.304575
SmPrCuO4,high-tc,0,1,Sm,Pr,Cu,Cu,O,O,1.1555,0.73,1.4,0.304575
SmGdCuO4,high-tc,0,1,Sm,Gd,Cu,Cu,O,O,1.1195,0.73,1.4,0.304575
PrGdCuO4,high-tc,0,1,Pr,Gd,Cu,Cu,O,O,1.143,0.73,1.4,0.304575
Pr2CaS4,th3p4,0,1,Pr,Pr,Ca,Ca,S,S,1.179,1.0,1.84,0.23596
Eu2CuO4,high-tc,0,1,Eu,Eu,Cu,Cu,O,O,1.12,0.73,1.4,0.304575
Ca2SiS4,olivine,0,1,Ca,Ca,Si,Si,S,S,1.18,0.4,1.84,0.23596
Yb2CaS4,th3p4,0,1,Yb,Yb,Ca,Ca,S,S,1.042,1.0,1.84,0.23596
Tl2CoBr4,k2so4,0,1,Tl,Tl,Co,Co,Br,Br,1.59,0.745,1.96,0.2412578
K2CoBr4,k2so4,0,1,K,K,Co,Co,Br,Br,1.55,0.745,1.96,0.2412578
Cs2CoBr4,k2so4,0,1,Cs,Cs,Co,Co,Br,Br,1.78,0.745,1.96,0.2412578
Cs2CdBr4,k2so4,0,1,Cs,Cs,Cd,Cd,Br,Br,1.78,0.95,1.96,0.2412578
Bi2YbTe4,th3p4,0,1,Bi,Bi,Yb,Yb,Te,Te,1.17,1.02,2.21,0.2056992
Bi2EuTe4,th3p4,0,1,Bi,Bi,Eu,Eu,Te,Te,1.17,1.17,2.21,0.2056992
Rh2BeO4,spinel,0,1,Rh,Rh,Be,Be,O,O,0.665,0.45,1.4,0.304575
Tl2BeF4,k2so4,0,1,Tl,Tl,Be,Be,F,F,1.59,0.45,1.33,0.344443
NdGaCuO4,high-tc,0,1,Nd,Ga,Cu,Cu,O,O,0.8915,0.73,1.4,0.304575
EuNdCuO4,high-tc,0,1,Eu,Nd,Cu,Cu,O,O,1.1415000000000002,0.73,1.4,0.304575
Ho2CaS4,th3p4,0,1,Ho,Ho,Ca,Ca,S,S,1.072,1.0,1.84,0.23596
EuGdCuO4,high-tc,0,1,Eu,Gd,Cu,Cu,O,O,1.1135000000000002,0.73,1.4,0.304575
Nd2CaS4,th3p4,0,1,Nd,Nd,Ca,Ca,S,S,1.163,1.0,1.84,0.23596
Rb2BeF4,k2so4,0,1,Rb,Rb,Be,Be,F,F,1.63,0.45,1.33,0.344443
K2BeF4,k2so4,0,1,K,K,Be,Be,F,F,1.55,0.45,1.33,0.344443
Cs2BeF4,k2so4,0,1,Cs,Cs,Be,Be,F,F,1.78,0.45,1.33,0.344443
Cr2BeO4,olivine,0,1,Cr,Cr,Be,Be,O,O,0.615,0.45,1.4,0.304575
Ho2CuO4,high-tc,0,1,Ho,Ho,Cu,Cu,O,O,1.072,0.73,1.4,0.304575
In2CuO4,high-tc,0,1,In,In,Cu,Cu,O,O,0.92,0.73,1.4,0.304575
Sm2CuO4,high-tc,0,1,Sm,Sm,Cu,Cu,O,O,1.132,0.73,1.4,0.304575
Tm2CuO4,high-tc,0,1,Tm,Tm,Cu,Cu,O,O,1.052,0.73,1.4,0.304575
Y2CuO4,high-tc,0,1,Y,Y,Cu,Cu,O,O,1.075,0.73,1.4,0.304575
Gd2PdO4,high-tc,0,1,Gd,Gd,Pd,Pd,O,O,1.107,0.86,1.4,0.304575
Gd2CuO4,high-tc,0,1,Gd,Gd,Cu,Cu,O,O,1.107,0.73,1.4,0.304575
La2PdO4,high-tc,0,1,La,La,Pd,Pd,O,O,1.216,0.86,1.4,0.304575
Nd2PdO4,high-tc,0,1,Nd,Nd,Pd,Pd,O,O,1.163,0.86,1.4,0.304575
Sm2PdO4,high-tc,0,1,Sm,Sm,Pd,Pd,O,O,1.132,0.86,1.4,0.304575
Rb2CoBr4,k2so4,0,1,Rb,Rb,Co,Co,Br,Br,1.63,0.745,1.96,0.2412578
La2CaS4,th3p4,0,1,La,La,Ca,Ca,S,S,1.216,1.0,1.84,0.23596
Cu2GeO4,spinel,0,1,Cu,Cu,Ge,Ge,O,O,0.73,0.53,1.4,0.304575
Rb2CoI4,spinel,0,1,Rb,Rb,Co,Co,I,I,1.63,0.745,2.2,0.2195175999999999
Fe2CoO4,spinel,0,1,Fe,Fe,Co,Co,O,O,0.78,0.745,1.4,0.304575
Cs2CoI4,k2so4,0,1,Cs,Cs,Co,Co,I,I,1.78,0.745,2.2,0.2195175999999999
Rb2ZnCl4,k2so4,0,1,Rb,Rb,Zn,Zn,Cl,Cl,1.63,0.74,1.81,0.263803
Na2ZnCl4,olivine,0,1,Na,Na,Zn,Zn,Cl,Cl,1.24,0.74,1.81,0.263803
Mn2CoO4,spinel,0,1,Mn,Mn,Co,Co,O,O,0.96,0.53,1.4,0.304575
Gd2CrS4,th3p4,0,1,Gd,Gd,Cr,Cr,S,S,1.107,0.8,1.84,0.23596
In2CrS4,spinel,0,1,In,In,Cr,Cr,S,S,0.92,0.8,1.84,0.23596
K2CrO4,k2so4,0,1,K,K,Cr,Cr,O,O,1.55,0.44,1.4,0.304575
Pr2EuS4,th3p4,0,1,Pr,Pr,Eu,Eu,S,S,1.179,1.17,1.84,0.23596
Eu2ZnO4,spinel,0,1,Eu,Eu,Zn,Zn,O,O,1.12,0.74,1.4,0.304575
Eu2SiO4,k2so4,0,1,Eu,Eu,Si,Si,O,O,1.3,0.4,1.4,0.304575
La2EuSe4,th3p4,0,1,La,La,Eu,Eu,Se,Se,1.216,1.17,1.98,0.2240328
Er2ZnS4,olivine,0,1,Er,Er,Zn,Zn,S,S,1.062,0.74,1.84,0.23596
Er2MgSe4,spinel,0,1,Er,Er,Mg,Mg,Se,Se,1.062,0.72,1.98,0.2240328
Dy2YbS4,th3p4,0,1,Dy,Dy,Yb,Yb,S,S,1.083,1.02,1.84,0.23596
Co2GeO4,spinel,0,1,Co,Co,Ge,Ge,O,O,0.9,0.53,1.4,0.304575
In2CoS4,spinel,0,1,In,In,Co,Co,S,S,0.92,0.745,1.84,0.23596
Lu2CaO4,cav2o4,0,1,Lu,Lu,Ca,Ca,O,O,1.032,1.0,1.4,0.304575
Ni2CoS4,spinel,0,1,Ni,Ni,Co,Co,S,S,0.69,0.53,1.84,0.23596
Gd2CdTe4,th3p4,0,1,Gd,Gd,Cd,Cd,Te,Te,1.107,0.95,2.21,0.2056992
Gd2CdSe4,th3p4,0,1,Gd,Gd,Cd,Cd,Se,Se,1.107,0.95,1.98,0.2240328
Gd2CdS4,th3p4,0,1,Gd,Gd,Cd,Cd,S,S,1.107,0.95,1.84,0.23596
Er2CdSe4,spinel,0,1,Er,Er,Cd,Cd,Se,Se,1.062,0.95,1.98,0.2240328
Er2CdS4,spinel,0,1,Er,Er,Cd,Cd,S,S,1.062,0.95,1.84,0.23596
Dy2CdTe4,spinel,0,1,Dy,Dy,Cd,Cd,Te,Te,1.083,0.95,2.21,0.2056992
Dy2CdSe4,spinel,0,1,Dy,Dy,Cd,Cd,Se,Se,1.083,0.95,1.98,0.2240328
Dy2CdS4,spinel,0,1,Dy,Dy,Cd,Cd,S,S,1.083,0.95,1.84,0.23596
Cs2CdI4,k2so4,0,1,Cs,Cs,Cd,Cd,I,I,1.78,0.95,2.2,0.2195175999999999
Li2ZnI4,olivine,0,1,Li,Li,Zn,Zn,I,I,0.92,0.74,2.2,0.2195175999999999
Ce2CdS4,th3p4,0,1,Ce,Ce,Cd,Cd,S,S,1.196,0.95,1.84,0.23596
Ca2SnS4,olivine,0,1,Ca,Ca,Sn,Sn,S,S,1.18,0.69,1.84,0.23596
Cd2GeO4,olivine,0,1,Cd,Cd,Ge,Ge,O,O,1.1,0.53,1.4,0.304575
Cs2BaBr4,th3p4,0,1,Cs,Cs,Ba,Ba,Br,Br,1.78,1.35,1.96,0.2412578
Cs2BaCl4,th3p4,0,1,Cs,Cs,Ba,Ba,Cl,Cl,1.78,1.35,1.81,0.263803
Rb2MnI4,k2so4,0,1,Rb,Rb,Mn,Mn,I,I,1.63,0.83,2.2,0.2195175999999999
FeMnSiO4,olivine,0,1,Fe,Mn,Si,Si,O,O,0.94,0.4,1.4,0.304575
Ho2YbS4,th3p4,0,1,Ho,Ho,Yb,Yb,S,S,1.072,1.02,1.84,0.23596
Rb2MoSe4,k2so4,0,1,Rb,Rb,Mo,Mo,Se,Se,1.63,0.59,1.98,0.2240328
Mn2SiS4,olivine,0,1,Mn,Mn,Si,Si,S,S,0.96,0.4,1.84,0.23596
Tm2MnS4,th3p4,0,1,Tm,Tm,Mn,Mn,S,S,1.052,0.83,1.84,0.23596
Yb2MnS4,spinel,0,1,Yb,Yb,Mn,Mn,S,S,1.042,0.83,1.84,0.23596
Sc2MnSe4,spinel,0,1,Sc,Sc,Mn,Mn,Se,Se,0.87,0.83,1.98,0.2240328
Mn2SiSe4,spinel,0,1,Mn,Mn,Si,Si,Se,Se,0.96,0.4,1.98,0.2240328
Yb2MnSe4,spinel,0,1,Yb,Yb,Mn,Mn,Se,Se,1.042,0.83,1.98,0.2240328
Rb2MoS4,k2so4,0,1,Rb,Rb,Mo,Mo,S,S,1.63,0.59,1.84,0.23596
Na2WO4,spinel,0,1,Na,Na,W,W,O,O,1.24,0.6,1.4,0.304575
Ho2MgSe4,spinel,0,1,Ho,Ho,Mg,Mg,Se,Se,1.072,0.72,1.98,0.2240328
V2FeO4,spinel,0,1,V,V,Fe,Fe,O,O,0.79,0.645,1.4,0.304575
Fe2SiO4,spinel,0,1,Fe,Fe,Si,Si,O,O,0.92,0.4,1.4,0.304575
Tb2CdS4,th3p4,0,1,Tb,Tb,Cd,Cd,S,S,1.095,0.95,1.84,0.23596
Yb2CdSe4,spinel,0,1,Yb,Yb,Cd,Cd,Se,Se,1.042,0.95,1.98,0.2240328
La2CdSe4,th3p4,0,1,La,La,Cd,Cd,Se,Se,1.216,0.95,1.98,0.2240328
La2CdTe4,th3p4,0,1,La,La,Cd,Cd,Te,Te,1.216,0.95,2.21,0.2056992
Lu2CdS4,spinel,0,1,Lu,Lu,Cd,Cd,S,S,1.032,0.95,1.84,0.23596
Sc2MnS4,spinel,0,1,Sc,Sc,Mn,Mn,S,S,0.87,0.83,1.84,0.23596
Mn2VO4,spinel,0,1,Mn,Mn,V,V,O,O,0.96,0.58,1.4,0.304575
Lu2MgSe4,spinel,0,1,Lu,Lu,Mg,Mg,Se,Se,1.032,0.72,1.98,0.2240328
Zn2PtO4,spinel,0,1,Zn,Zn,Pt,Pt,O,O,0.9,0.625,1.4,0.304575
Mn2NiO4,spinel,0,1,Mn,Mn,Ni,Ni,O,O,0.96,0.48,1.4,0.304575
Ni2SnO4,spinel,0,1,Ni,Ni,Sn,Sn,O,O,0.69,0.69,1.4,0.304575
Ni2SiO4,spinel,0,1,Ni,Ni,Si,Si,O,O,0.69,0.4,1.4,0.304575
Nd2ZnS4,th3p4,0,1,Nd,Nd,Zn,Zn,S,S,1.163,0.74,1.84,0.23596
Nd2YbS4,th3p4,0,1,Nd,Nd,Yb,Yb,S,S,1.163,1.02,1.84,0.23596
Mg2GeS4,olivine,0,1,Mg,Mg,Ge,Ge,S,S,0.89,0.53,1.84,0.23596
Sc2FeS4,spinel,0,1,Sc,Sc,Fe,Fe,S,S,0.87,0.78,1.84,0.23596
Fe2SiS4,olivine,0,1,Fe,Fe,Si,Si,S,S,0.92,0.4,1.84,0.23596
Fe2SnS4,spinel,0,1,Fe,Fe,Sn,Sn,S,S,0.92,0.69,1.84,0.23596
Yb2FeS4,spinel,0,1,Yb,Yb,Fe,Fe,S,S,1.14,0.645,1.84,0.23596
Gd2MnS4,th3p4,0,1,Gd,Gd,Mn,Mn,S,S,1.107,0.83,1.84,0.23596
Gd2ZnS4,th3p4,0,1,Gd,Gd,Zn,Zn,S,S,1.107,0.74,1.84,0.23596
Mg2GeO4,spinel,0,1,Mg,Mg,Ge,Ge,O,O,0.89,0.53,1.4,0.304575
La2SrSe4,th3p4,0,1,La,La,Sr,Sr,Se,Se,1.216,1.18,1.98,0.2240328
Lu2MgS4,spinel,0,1,Lu,Lu,Mg,Mg,S,S,1.032,0.72,1.84,0.23596
K2PbCl4,th3p4,0,1,K,K,Pb,Pb,Cl,Cl,1.55,1.19,1.81,0.263803
K2EuCl4,th3p4,0,1,K,K,Eu,Eu,Cl,Cl,1.55,1.17,1.81,0.263803
K2CuCl4,k2so4,0,1,K,K,Cu,Cu,Cl,Cl,1.55,0.73,1.81,0.263803
Cd2SnO4,spinel,0,1,Cd,Cd,Sn,Sn,O,O,1.1,0.69,1.4,0.304575
K2SrCl4,th3p4,0,1,K,K,Sr,Sr,Cl,Cl,1.55,1.18,1.81,0.263803
Ce2PbS4,th3p4,0,1,Ce,Ce,Pb,Pb,S,S,1.196,1.19,1.84,0.23596
Ce2EuSe4,th3p4,0,1,Ce,Ce,Eu,Eu,Se,Se,1.196,1.17,1.98,0.2240328
Ho2CdSe4,spinel,0,1,Ho,Ho,Cd,Cd,Se,Se,1.072,0.95,1.98,0.2240328
Rb2CrO4,k2so4,0,1,Rb,Rb,Cr,Cr,O,O,1.63,0.44,1.4,0.304575
Li2ZnCl4,olivine,0,1,Li,Li,Zn,Zn,Cl,Cl,0.92,0.74,1.81,0.263803
Li2VCl4,spinel,0,1,Li,Li,V,V,Cl,Cl,0.92,0.79,1.81,0.263803
Li2MgCl4,spinel,0,1,Li,Li,Mg,Mg,Cl,Cl,0.92,0.72,1.81,0.263803
K2ZnCl4,k2so4,0,1,K,K,Zn,Zn,Cl,Cl,1.55,0.74,1.81,0.263803
Y2CdSe4,spinel,0,1,Y,Y,Cd,Cd,Se,Se,1.075,0.95,1.98,0.2240328
Tm2CdSe4,spinel,0,1,Tm,Tm,Cd,Cd,Se,Se,1.052,0.95,1.98,0.2240328
Tb2CdSe4,th3p4,0,1,Tb,Tb,Cd,Cd,Se,Se,1.095,0.95,1.98,0.2240328
Sm2CdSe4,th3p4,0,1,Sm,Sm,Cd,Cd,Se,Se,1.132,0.95,1.98,0.2240328
Yb2CdS4,spinel,0,1,Yb,Yb,Cd,Cd,S,S,1.042,0.95,1.84,0.23596
Pr2CdSe4,th3p4,0,1,Pr,Pr,Cd,Cd,Se,Se,1.179,0.95,1.98,0.2240328
Pr2CdS4,th3p4,0,1,Pr,Pr,Cd,Cd,S,S,1.179,0.95,1.84,0.23596
Nd2CdSe4,th3p4,0,1,Nd,Nd,Cd,Cd,Se,Se,1.163,0.95,1.98,0.2240328
Cs2ZnCl4,k2so4,0,1,Cs,Cs,Zn,Zn,Cl,Cl,1.78,0.74,1.81,0.263803
Nd2CdS4,th3p4,0,1,Nd,Nd,Cd,Cd,S,S,1.163,0.95,1.84,0.23596
Cs2MgCl4,k2so4,0,1,Cs,Cs,Mg,Mg,Cl,Cl,1.78,0.72,1.81,0.263803
Cs2CuCl4,k2so4,0,1,Cs,Cs,Cu,Cu,Cl,Cl,1.78,0.73,1.81,0.263803
Tl2CoCl4,k2so4,0,1,Tl,Tl,Co,Co,Cl,Cl,1.59,0.745,1.81,0.263803
Na2CoCl4,olivine,0,1,Na,Na,Co,Co,Cl,Cl,1.24,0.745,1.81,0.263803
Li2CoCl4,spinel,0,1,Li,Li,Co,Co,Cl,Cl,0.92,0.745,1.81,0.263803
K2CoCl4,k2so4,0,1,K,K,Co,Co,Cl,Cl,1.55,0.745,1.81,0.263803
Cs2CoCl4,k2so4,0,1,Cs,Cs,Co,Co,Cl,Cl,1.78,0.745,1.81,0.263803
Ce2SrSe4,th3p4,0,1,Ce,Ce,Sr,Sr,Se,Se,1.196,1.18,1.98,0.2240328
Ce2YbS4,th3p4,0,1,Ce,Ce,Yb,Yb,S,S,1.196,1.02,1.84,0.23596
Ce2SrS4,th3p4,0,1,Ce,Ce,Sr,Sr,S,S,1.196,1.18,1.84,0.23596
Sm2CeS4,th3p4,0,1,Sm,Sm,Ce,Ce,S,S,1.32,1.01,1.84,0.23596
Ce2PbSe4,th3p4,0,1,Ce,Ce,Pb,Pb,Se,Se,1.196,1.19,1.98,0.2240328
Nd2CeS4,th3p4,0,1,Nd,Nd,Ce,Ce,S,S,1.35,1.01,1.84,0.23596
CaYbInSe4,olivine,0,1,Ca,Yb,In,In,Se,Se,1.111,0.8,1.98,0.2240328
Lu2CdSe4,spinel,0,1,Lu,Lu,Cd,Cd,Se,Se,1.032,0.95,1.98,0.2240328
Yb2MgSe4,spinel,0,1,Yb,Yb,Mg,Mg,Se,Se,1.042,0.72,1.98,0.2240328
Y2MgSe4,spinel,0,1,Y,Y,Mg,Mg,Se,Se,1.075,0.72,1.98,0.2240328
Tm2MgSe4,spinel,0,1,Tm,Tm,Mg,Mg,Se,Se,1.052,0.72,1.98,0.2240328
MnNaAsO4,olivine,0,1,Mn,Na,As,As,O,O,1.1,0.46,1.4,0.304575
Li2NiF4,spinel,0,1,Li,Li,Ni,Ni,F,F,0.92,0.69,1.33,0.344443
Pr2EuSe4,th3p4,0,1,Pr,Pr,Eu,Eu,Se,Se,1.179,1.17,1.98,0.2240328
Mn2GeO4,olivine,0,1,Mn,Mn,Ge,Ge,O,O,0.96,0.53,1.4,0.304575
Dy2CaS4,th3p4,0,1,Dy,Dy,Ca,Ca,S,S,1.083,1.0,1.84,0.23596
Na2ZnBr4,olivine,0,1,Na,Na,Zn,Zn,Br,Br,1.24,0.74,1.96,0.2412578
Li2ZnBr4,olivine,0,1,Li,Li,Zn,Zn,Br,Br,0.92,0.74,1.96,0.2412578
Tm2CdS4,spinel,0,1,Tm,Tm,Cd,Cd,S,S,1.052,0.95,1.84,0.23596
MnScGaS4,olivine,0,1,Mn,Sc,Ga,Ga,S,S,0.915,0.62,1.84,0.23596
NaSrAsO4,k2so4,0,1,Na,Sr,As,As,O,O,1.275,0.46,1.4,0.304575
LiMnAsO4,olivine,0,1,Li,Mn,As,As,O,O,0.94,0.46,1.4,0.304575
Li2MnBr2Cl2,spinel,0,1,Li,Li,Mn,Mn,Br,Cl,0.92,0.83,1.885,0.2525304
LiScGeO4,olivine,0,1,Li,Sc,Ge,Ge,O,O,0.895,0.53,1.4,0.304575
LiInGeO4,olivine,0,1,Li,In,Ge,Ge,O,O,0.92,0.53,1.4,0.304575
HoNaGeO4,olivine,0,1,Ho,Na,Ge,Ge,O,O,1.156,0.53,1.4,0.304575
GdNaGeO4,olivine,0,1,Gd,Na,Ge,Ge,O,O,1.1735,0.53,1.4,0.304575
Fe2GeO4,spinel,0,1,Fe,Fe,Ge,Ge,O,O,0.92,0.53,1.4,0.304575
RbBaVO4,k2so4,0,1,Rb,Ba,V,V,O,O,1.5499999999999998,0.54,1.4,0.304575
CdNaAsO4,olivine,0,1,Cd,Na,As,As,O,O,1.17,0.46,1.4,0.304575
LiNaBeF4,olivine,0,1,Li,Na,Be,Be,F,F,1.08,0.45,1.33,0.344443
K2WS4,k2so4,0,1,K,K,W,W,S,S,1.55,0.6,1.84,0.23596
Cs2MoSe4,k2so4,0,1,Cs,Cs,Mo,Mo,Se,Se,1.78,0.59,1.98,0.2240328
Ba2VO4,k2so4,0,1,Ba,Ba,V,V,O,O,1.47,0.58,1.4,0.304575
Mg2SiO4,olivine,0,1,Mg,Mg,Si,Si,O,O,0.89,0.4,1.4,0.304575
FeMnGeO4,olivine,0,1,Fe,Mn,Ge,Ge,O,O,0.94,0.53,1.4,0.304575
EuNaGeO4,olivine,0,1,Eu,Na,Ge,Ge,O,O,1.1800000000000002,0.53,1.4,0.304575
ErNaGeO4,olivine,0,1,Er,Na,Ge,Ge,O,O,1.151,0.53,1.4,0.304575
CoMnGeS4,olivine,0,1,Co,Mn,Ge,Ge,S,S,0.93,0.53,1.84,0.23596
CoMnGeO4,olivine,0,1,Co,Mn,Ge,Ge,O,O,0.93,0.53,1.4,0.304575
CaMnSiO4,olivine,0,1,Ca,Mn,Si,Si,O,O,1.0699999999999998,0.4,1.4,0.304575
CaMgSiO4,olivine,0,1,Ca,Mg,Si,Si,O,O,1.035,0.4,1.4,0.304575
KCaVO4,k2so4,0,1,K,Ca,V,V,O,O,1.365,0.54,1.4,0.304575
CaYbInS4,olivine,0,1,Ca,Yb,In,In,S,S,1.111,0.8,1.84,0.23596
CaYGaO4,olivine,0,1,Ca,Y,Ga,Ga,O,O,1.1275,0.62,1.4,0.304575
CaLaGaO4,olivine,0,1,Ca,La,Ga,Ga,O,O,1.198,0.62,1.4,0.304575
KSrAsO4,k2so4,0,1,K,Sr,As,As,O,O,1.4300000000000002,0.46,1.4,0.304575
CaNaAsO4,olivine,0,1,Ca,Na,As,As,O,O,1.21,0.46,1.4,0.304575
Sc2MgSe4,spinel,0,1,Sc,Sc,Mg,Mg,Se,Se,0.87,0.72,1.98,0.2240328
Cs2MnI4,k2so4,0,1,Cs,Cs,Mn,Mn,I,I,1.78,0.83,2.2,0.2195175999999999
Ni2RhS4,spinel,0,1,Ni,Ni,Rh,Rh,S,S,0.69,0.6,1.84,0.23596
Zn2PdO4,spinel,0,1,Zn,Zn,Pd,Pd,O,O,0.9,0.615,1.4,0.304575
Mn2TiO4,spinel,0,1,Mn,Mn,Ti,Ti,O,O,0.96,0.605,1.4,0.304575
Mn2TcO4,spinel,0,1,Mn,Mn,Tc,Tc,O,O,0.96,0.645,1.4,0.304575
Mn2SiO4,olivine,0,1,Mn,Mn,Si,Si,O,O,0.96,0.4,1.4,0.304575
Sc2MgS4,spinel,0,1,Sc,Sc,Mg,Mg,S,S,0.87,0.72,1.84,0.23596
Lu2MnSe4,spinel,0,1,Lu,Lu,Mn,Mn,Se,Se,1.032,0.83,1.98,0.2240328
Lu2ZnS4,olivine,0,1,Lu,Lu,Zn,Zn,S,S,1.032,0.74,1.84,0.23596
Mg2PtO4,spinel,0,1,Mg,Mg,Pt,Pt,O,O,0.89,0.625,1.4,0.304575
Sc2MgO4,cav2o4,0,1,Sc,Sc,Mg,Mg,O,O,0.87,0.72,1.4,0.304575
Mg2SnO4,spinel,0,1,Mg,Mg,Sn,Sn,O,O,0.89,0.69,1.4,0.304575
Mg2TiO4,spinel,0,1,Mg,Mg,Ti,Ti,O,O,0.89,0.605,1.4,0.304575
Tm2MgS4,th3p4,0,1,Tm,Tm,Mg,Mg,S,S,1.052,0.72,1.84,0.23596
Mn2ScO4,spinel,0,1,Mn,Mn,Sc,Sc,O,O,0.96,0.745,1.4,0.304575
Yb2MgS4,spinel,0,1,Yb,Yb,Mg,Mg,S,S,1.042,0.72,1.84,0.23596
Mg2TcO4,spinel,0,1,Mg,Mg,Tc,Tc,O,O,0.89,0.645,1.4,0.304575
Cs2MoS4,k2so4,0,1,Cs,Cs,Mo,Mo,S,S,1.78,0.59,1.84,0.23596
KCaAsO4,k2so4,0,1,K,Ca,As,As,O,O,1.365,0.46,1.4,0.304575
Ni2FeS4,spinel,0,1,Ni,Ni,Fe,Fe,S,S,0.69,0.645,1.84,0.23596
NaBaAsO4,k2so4,0,1,Na,Ba,As,As,O,O,1.355,0.46,1.4,0.304575
NaBaVO4,k2so4,0,1,Na,Ba,V,V,O,O,1.355,0.54,1.4,0.304575
Yb2ZnS4,olivine,0,1,Yb,Yb,Zn,Zn,S,S,1.042,0.74,1.84,0.23596
Tm2ZnS4,olivine,0,1,Tm,Tm,Zn,Zn,S,S,1.052,0.74,1.84,0.23596
Tb2YbS4,th3p4,0,1,Tb,Tb,Yb,Yb,S,S,1.095,1.02,1.84,0.23596
Sm2ZnS4,th3p4,0,1,Sm,Sm,Zn,Zn,S,S,1.132,0.74,1.84,0.23596
Sc2ZnS4,spinel,0,1,Sc,Sc,Zn,Zn,S,S,0.87,0.74,1.84,0.23596
Rb2WSe4,k2so4,0,1,Rb,Rb,W,W,Se,Se,1.63,0.6,1.98,0.2240328
Rb2WS4,k2so4,0,1,Rb,Rb,W,W,S,S,1.63,0.6,1.84,0.23596
Pr2YbS4,th3p4,0,1,Pr,Pr,Yb,Yb,S,S,1.179,1.02,1.84,0.23596
Zn2ZrO4,spinel,0,1,Zn,Zn,Zr,Zr,O,O,0.9,0.72,1.4,0.304575
Zn2TiO4,spinel,0,1,Zn,Zn,Ti,Ti,O,O,0.9,0.605,1.4,0.304575
LiMgAsO4,olivine,0,1,Li,Mg,As,As,O,O,0.905,0.46,1.4,0.304575
Fe2GeS4,olivine,0,1,Fe,Fe,Ge,Ge,S,S,0.92,0.53,1.84,0.23596
Y2YbS4,th3p4,0,1,Y,Y,Yb,Yb,S,S,1.075,1.02,1.84,0.23596
Yb2CaO4,cav2o4,0,1,Yb,Yb,Ca,Ca,O,O,1.042,1.0,1.4,0.304575
